,SPY,M0,M1,M2,M3,M4,M5,M6,M7,M_Unified
2018-01-30 00:00:00+00:00,1.0201371423295058,0.9992668914221641,0.9994370040774788,0.9994370040774788,0.9993809781977903,0.9992668779302396,0.9992668779302396,0.9992668779302396,0.9992844078711478,0.9992667657470377
2018-01-31 00:00:00+00:00,1.050273043593432,1.0011468653591726,1.002981474155534,1.002981474155534,1.002406146421396,1.0011502641847956,1.0011502641847956,1.0011502641847956,1.0036051284541825,1.0073527152143023
2018-02-01 00:00:00+00:00,1.0348725344844316,1.000968776996744,1.00253642261276,1.00253642261276,1.0019876393088951,1.0009701579791168,1.0009701579791168,1.0009701579791168,1.000807153027304,1.0118384633754378
2018-02-02 00:00:00+00:00,1.0385293130749442,1.0056922648152047,1.0104276776647614,1.0104276776647614,1.008796394942043,1.0057124212555542,1.0057124212555542,1.0057124212555542,1.0104096021619355,1.0217521017865265
2018-02-05 00:00:00+00:00,1.058437473207546,1.0079941487390727,1.010390920579572,1.010390920579572,1.0096314828961417,1.0080057424676097,1.0080057424676097,1.0080057424676097,1.0132958028107324,1.0244334219136861
2018-02-06 00:00:00+00:00,1.0647016179202817,1.0058499098108236,1.0069004624847653,1.0069004624847653,1.0065721547172422,1.0058659643539232,1.0058659643539232,1.0058659643539232,1.0137325286007464,1.0231788900698866
2018-02-07 00:00:00+00:00,1.0833588300544206,1.0066576739773079,1.0091877740004356,1.0091877740004356,1.0085306295978613,1.0066657572146858,1.0066657572146858,1.0066657572146858,1.0131534679399932,1.0232798794322957
2018-02-08 00:00:00+00:00,1.090301462813579,1.0080146753042667,1.0117787281804593,1.0117787281804593,1.0106037007803552,1.008001677348,1.008001677348,1.008001677348,1.0100718953978276,1.024513288698117
2018-02-09 00:00:00+00:00,1.0826207052387549,1.009365135016895,1.0166988645519452,1.0166988645519452,1.0143503480520075,1.0093341807152714,1.0093341807152714,1.0093341807152714,1.0125719808307667,1.0223506621128962
2018-02-12 00:00:00+00:00,1.077845748487419,1.0101491711622321,1.0197626376067304,1.0197626376067304,1.0163978021911784,1.010080787755336,1.010080787755336,1.010080787755336,1.0112615136264025,1.021083238788278
2018-02-13 00:00:00+00:00,1.0877103225515914,1.0139139378672317,1.0226236876543338,1.0226236876543338,1.0197483575916355,1.013837944554928,1.013837944554928,1.013837944554928,1.012922424738192,1.0241416158551528
2018-02-14 00:00:00+00:00,1.0863771048994946,1.0145782399032837,1.0236366660281722,1.0236366660281722,1.0205389795051232,1.0145033629889766,1.0145033629889766,1.0145033629889766,1.0182427223107773,1.024515390904943
2018-02-15 00:00:00+00:00,1.0961093015921213,1.0148383373926981,1.025147110548145,1.025147110548145,1.0215487230631006,1.0147287638125053,1.0147287638125053,1.0147287638125053,1.0132898861975006,1.0214841811241366
